,Year,Rk,Team,W,L,MOV,ORtg,DRtg,NRtg,FTr,3PAr,TS%,eFG%,TOV%,ORB%,DRB%,FT/FGA,Won Championship,Rounds Played
114,1997,29.0,Vancouver Grizzlies,14.0,68.0,-10.23,100.3,111.8,-11.5,0.269,0.197,0.507,0.471,15.3,29.7,64.1,0.191,0,0
116,1998,1.0,Los Angeles Lakers,61.0,21.0,7.74,111.9,103.7,8.2,0.42,0.216,0.559,0.519,14.0,31.6,68.8,0.285,0,3
117,1998,2.0,Seattle SuperSonics,61.0,21.0,7.17,111.6,103.6,8.0,0.327,0.243,0.558,0.521,13.4,28.7,66.1,0.236,0,2
118,1998,3.0,Chicago Bulls,62.0,20.0,7.11,107.7,99.8,7.9,0.295,0.141,0.516,0.473,13.3,35.7,70.6,0.219,1,4
119,1998,4.0,Utah Jazz,62.0,20.0,6.54,112.7,105.4,7.3,0.433,0.11,0.569,0.51,14.8,32.3,71.0,0.334,0,4
120,1998,5.0,Indiana Pacers,58.0,24.0,6.09,108.4,101.6,6.8,0.343,0.165,0.55,0.502,14.0,27.9,67.8,0.262,0,3
121,1998,6.0,Phoenix Suns,56.0,26.0,5.18,107.4,101.8,5.6,0.29,0.18,0.54,0.5,14.0,29.7,70.0,0.217,0,1
122,1998,7.0,Miami Heat,55.0,27.0,4.93,107.6,102.0,5.6,0.329,0.244,0.538,0.494,14.5,31.5,69.6,0.243,0,1
123,1998,8.0,San Antonio Spurs,56.0,26.0,3.99,103.8,99.4,4.4,0.35,0.139,0.531,0.493,15.6,30.6,72.2,0.241,0,2
124,1998,9.0,Atlanta Hawks,50.0,32.0,3.51,108.2,104.3,3.9,0.364,0.16,0.533,0.481,14.1,33.9,69.1,0.275,0,1
125,1998,10.0,Cleveland Cavaliers,47.0,35.0,2.73,102.2,99.1,3.1,0.352,0.129,0.529,0.478,16.5,30.0,71.1,0.266,0,1
126,1998,11.0,New York Knicks,43.0,39.0,2.46,103.0,100.3,2.7,0.283,0.178,0.521,0.476,14.7,29.5,74.0,0.218,0,2
127,1998,12.0,Charlotte Hornets,51.0,31.0,2.0,107.5,105.3,2.2,0.345,0.142,0.542,0.495,14.6,30.4,70.8,0.259,0,2
128,1998,13.0,Detroit Pistons,37.0,45.0,1.57,105.3,103.5,1.8,0.359,0.147,0.523,0.472,14.0,30.9,70.2,0.267,0,0
129,1998,14.0,New Jersey Nets,43.0,39.0,1.57,108.3,106.6,1.7,0.339,0.135,0.513,0.463,12.9,36.7,66.4,0.253,0,1
130,1998,15.0,Portland Trail Blazers,46.0,36.0,1.4,104.0,102.4,1.6,0.348,0.164,0.524,0.476,15.8,33.0,71.4,0.256,0,0
131,1998,16.0,Washington Wizards,42.0,40.0,0.59,105.2,104.5,0.7,0.317,0.139,0.513,0.476,13.0,31.2,69.5,0.219,0,0
132,1998,17.0,Minnesota Timberwolves,45.0,37.0,0.71,107.8,107.1,0.7,0.329,0.128,0.529,0.483,12.7,30.6,68.5,0.244,0,1
133,1998,18.0,Houston Rockets,41.0,41.0,-0.76,107.7,108.6,-0.9,0.326,0.256,0.544,0.496,14.8,29.8,69.3,0.251,0,1
